price,quantity,type
91.4754,36,sell
92.8294,27,sell
94.8393,30,buy
90.8355,88,buy
109.767,28,buy
106.321,85,buy
102.126,67,sell
93.8922,67,sell
101.904,36,sell
105.608,24,buy
102.51,51,sell
104.835,58,buy
108.476,57,buy
106.959,39,sell
105.862,77,sell
102.599,72,buy
97.0356,43,sell
90.436,25,buy
93.4244,45,sell
94.6429,57,buy
102.555,33,sell
104.611,1,sell
105.796,15,sell
104.325,93,sell
106.592,72,sell
92.8138,98,buy
102.115,48,buy
107.785,92,buy
93.2227,50,sell
91.6161,33,buy
103.361,2,sell
91.9731,27,buy
95.8231,92,buy
94.4735,51,buy
93.4673,90,sell
105.914,99,buy
95.9206,14,buy
94.4491,87,buy
96.5821,71,buy
107.663,63,sell
94.1236,27,buy
96.6534,34,sell
91.4087,10,buy
102.432,87,buy
100.468,67,sell
108.979,2,sell
108.761,84,buy
101.698,36,sell
93.0211,66,sell
101.249,11,sell
99.9265,45,buy
93.1728,54,buy
95.5861,14,sell
93.9549,62,sell
96.6357,80,buy
95.0051,89,buy
91.1499,68,sell
104.494,86,buy
94.0852,19,sell
95.2887,94,sell
106.154,71,buy
105.336,28,sell
105.196,88,buy
102.603,20,buy
105.03,86,buy
101.963,24,sell
92.2049,84,sell
94.8982,61,sell
100.543,99,buy
105.792,6,buy
100.823,2,buy
103.904,56,buy
97.0915,73,buy
94.8689,18,sell
102.872,42,sell
107.319,18,sell
96.9864,26,sell
97.3149,88,sell
90.0987,35,sell
102.162,28,sell
103.16,85,buy
91.562,82,buy
90.7202,64,buy
96.8939,57,buy
91.6084,79,sell
92.6487,64,buy
96.306,24,sell
92.0293,95,sell
103.901,41,buy
103.525,44,sell
94.6004,10,sell
100.845,63,sell
104.905,35,buy
108.941,10,buy
105.33,40,buy
95.1809,13,buy
101.161,11,buy
106.703,53,sell
98.9722,21,sell
94.6842,19,sell
99.2411,27,sell
100.644,10,buy
90.1972,38,buy
106.187,66,buy
96.7998,33,buy
104.394,26,sell
106.856,72,buy
98.3119,88,buy
101.666,13,sell
93.2934,33,buy
98.4754,94,sell
92.3287,23,sell
109.238,59,buy
107.698,6,buy
106.892,39,sell
103.138,51,buy
91.6553,45,buy
97.8144,84,buy
98.2998,28,buy
91.4679,39,buy
109.488,65,sell
100.154,10,buy
103.689,1,sell
97.1348,30,buy
102.802,70,buy
96.2813,28,sell
106.278,59,buy
106.054,2,buy
98.1948,21,buy
90.9704,89,buy
97.6262,28,buy
101.218,81,buy
104.342,55,buy
90.9774,59,sell
107.846,30,buy
96.6544,83,sell
96.039,98,sell
95.0989,52,buy
103.843,5,sell
95.371,78,buy
101.123,71,buy
92.1641,57,sell
93.3503,37,sell
108.815,93,buy
95.6218,41,buy
109.769,40,buy
91.4542,3,buy
99.8236,77,buy
98.0362,2,sell
91.9107,37,sell
95.9849,100,sell
105.699,47,sell
97.295,44,sell
108.814,66,buy
99.8141,7,sell
97.3034,5,sell
103.047,78,buy
97.2534,10,buy
104.558,36,sell
104.22,44,sell
106.021,76,sell
106.762,81,sell
95.7767,73,buy
90.2238,78,buy
96.5343,28,buy
96.2889,100,buy
92.4896,11,buy
91.3902,61,sell
108.396,19,buy
107.95,21,buy
97.2408,16,buy
98.9213,27,sell
103.853,19,buy
95.0848,61,buy
99.2725,71,sell
105.186,88,sell
108.384,92,buy
100.465,75,sell
97.2054,27,buy
92.6821,63,sell
101.495,35,buy
96.1274,42,buy
99.5137,69,sell
106.075,12,buy
99.2643,53,buy
105.462,7,buy
91.5305,43,sell
104.242,95,buy
99.8828,29,buy
104.785,59,buy
98.0551,65,buy
98.21,67,sell
106.752,9,sell
102.682,34,buy
97.3535,80,buy
94.947,79,sell
98.4786,61,buy
97.9234,73,sell
94.8206,45,sell
103.886,6,sell
96.3411,7,buy
96.8073,57,sell
92.3081,88,sell
92.0671,47,sell
103.86,39,buy
101.548,53,buy
93.5882,72,sell
102.391,41,sell
109.167,12,sell
94.4319,29,sell
93.7448,49,sell
103.753,11,buy
93.3355,19,buy
95.5154,61,buy
105.93,93,buy
90.2634,35,buy
106.284,35,sell
94.9288,50,sell
109.572,57,sell
90.5655,26,sell
96.1812,63,buy
93.0712,47,sell
105.551,67,sell
91.6658,65,buy
95.6375,49,buy
101.596,4,buy
106.379,38,sell
95.2635,69,buy
98.1744,12,sell
92.7321,32,buy
102.184,53,buy
91.9138,17,sell
90.7083,81,sell
95.0941,63,sell
95.855,47,buy
105.762,86,sell
95.8957,80,sell
92.2156,51,buy
106.767,65,sell
97.4802,10,sell
95.1182,51,sell
100.106,29,buy
95.7493,75,sell
93.9242,85,buy
101.091,70,sell
102.991,8,sell
104.623,19,sell
106.651,36,buy
105.892,81,buy
107.945,55,buy
96.7861,76,buy
108.479,19,sell
103.661,89,buy
102.307,95,sell
98.9165,60,buy
93.9218,73,sell
92.4924,12,buy
107.735,1,buy
92.664,46,buy
108.672,62,sell
108.848,10,sell
94.0513,24,buy
91.5889,19,sell
104.529,92,buy
97.4761,6,buy
109.8,41,sell
109.251,55,sell
95.3191,49,sell
106.626,78,sell
93.9384,94,buy
95.9041,82,buy
