price,quantity,type
69.2462,31,sell
61.5199,26,sell
53.6788,82,buy
83.4048,52,sell
50.6986,88,sell
64.8922,94,buy
62.2525,18,buy
69.6358,88,sell
63.4042,23,sell
80.2955,62,sell
74.6444,59,buy
101.116,72,buy
90.2951,79,sell
66.9882,34,sell
68.4457,66,buy
73.6587,30,buy
65.0523,55,buy
76.0872,53,sell
61.4859,53,sell
109.133,53,sell
66.2717,35,buy
80.9304,31,sell
93.9878,10,buy
54.2229,85,buy
77.4386,76,buy
104.868,3,buy
90.4201,33,buy
57.2129,70,buy
87.1928,71,sell
81.6312,60,buy
92.8371,83,sell
53.9265,19,buy
78.8649,28,sell
104.045,100,sell
69.2434,9,sell
91.0761,67,buy
88.7293,14,buy
52.8652,28,buy
108.368,49,buy
88.7366,77,buy
52.1702,62,buy
95.5996,53,buy
87.0258,61,buy
51.0184,68,sell
71.001,72,sell
92.5035,77,buy
56.7192,70,buy
106.59,91,sell
69.6422,6,buy
57.9359,15,buy
56.9522,22,sell
101.499,90,sell
67.307,83,buy
102.988,57,sell
69.4869,65,sell
103.479,97,buy
77.3524,10,buy
108.795,10,buy
76.4363,55,sell
107.566,29,sell
53.3096,40,buy
57.9012,36,buy
88.4541,65,sell
83.2435,51,buy
82.7191,75,buy
92.3148,48,sell
72.9103,67,sell
95.5134,3,buy
70.8416,37,buy
80.0138,87,buy
84.1274,32,buy
77.9876,22,buy
101.054,30,sell
92.2799,17,sell
98.9522,84,sell
95.8188,30,buy
84.1569,7,buy
107.141,76,sell
70.2422,65,buy
65.0453,59,buy
94.9029,81,sell
80.8951,26,sell
64.4296,22,buy
72.1976,44,buy
57.0105,4,buy
97.7334,54,buy
62.5664,29,buy
84.1989,12,sell
95.598,79,buy
92.3776,84,buy
81.2229,12,sell
79.62,38,buy
74.5644,50,sell
98.6602,100,buy
99.3146,59,buy
87.6425,89,buy
102.243,25,buy
52.9188,85,buy
64.2338,23,buy
76.4765,91,buy
104.17,75,buy
91.4725,36,buy
66.7744,41,sell
91.2276,62,buy
62.0365,63,sell
85.1555,52,buy
55.1738,98,sell
70.9594,44,buy
90.0326,36,sell
95.3181,93,sell
63.994,35,sell
93.0406,39,sell
52.4672,51,buy
83.3968,98,buy
79.1557,5,sell
52.1857,48,sell
96.8471,34,buy
109.619,80,sell
59.8046,77,buy
76.8618,49,sell
94.665,31,buy
80.6079,19,sell
88.938,15,sell
74.4401,51,buy
109.425,51,sell
104.622,54,sell
63.629,66,sell
74.6445,88,sell
88.9215,82,sell
53.3483,59,buy
87.8036,100,sell
80.3759,90,sell
74.6483,84,buy
100.54,83,sell
86.9973,52,buy
57.3704,41,sell
107.563,70,buy
105.351,64,buy
102.904,99,buy
84.6702,42,buy
60.0158,17,buy
101.307,24,buy
105.603,74,sell
85.6789,100,buy
52.7453,26,sell
73.7682,59,buy
71.9798,48,buy
106.937,92,sell
